caregiver_id,day_of_week,start_time,end_time,is_available
1,Thu,09:00,18:00,True
1,Wed,09:00,13:00,True
1,Sun,13:00,18:00,True
1,Fri,08:00,12:00,True
1,Mon,08:00,21:00,True
1,Sat,14:00,21:00,True
2,Wed,09:00,13:00,True
2,Mon,14:00,21:00,True
2,Thu,08:00,12:00,True
2,Sat,13:00,18:00,True
2,Tue,09:00,13:00,True
2,Sun,08:00,12:00,True
3,Mon,09:00,13:00,True
3,Sun,09:00,13:00,True
3,Wed,09:00,18:00,True
4,Sat,09:00,13:00,True
4,Fri,08:00,21:00,True
4,Sun,09:00,13:00,True
5,Thu,08:00,21:00,True
5,Sun,14:00,21:00,True
5,Mon,13:00,18:00,True
6,Mon,08:00,21:00,True
6,Wed,09:00,13:00,True
6,Fri,08:00,21:00,True
6,Sat,14:00,21:00,True
7,Wed,14:00,21:00,True
7,Sun,09:00,18:00,True
7,Fri,14:00,21:00,True
8,Thu,13:00,18:00,True
8,Wed,09:00,18:00,True
8,Tue,13:00,18:00,True
8,Sun,08:00,12:00,True
8,Sat,08:00,21:00,True
8,Fri,14:00,21:00,True
9,Sat,08:00,12:00,True
9,Thu,08:00,21:00,True
9,Wed,13:00,18:00,True
9,Sun,09:00,18:00,True
10,Tue,08:00,21:00,True
10,Mon,13:00,18:00,True
10,Sun,13:00,18:00,True
11,Mon,09:00,18:00,True
11,Sun,14:00,21:00,True
11,Tue,09:00,18:00,True
11,Thu,08:00,12:00,True
12,Mon,09:00,18:00,True
12,Sat,09:00,18:00,True
12,Wed,13:00,18:00,True
12,Fri,13:00,18:00,True
12,Thu,09:00,13:00,True
12,Sun,08:00,21:00,True
13,Fri,09:00,13:00,True
13,Sun,09:00,18:00,True
13,Wed,08:00,12:00,True
13,Thu,08:00,12:00,True
13,Sat,13:00,18:00,True
14,Thu,09:00,18:00,True
14,Fri,09:00,13:00,True
14,Mon,13:00,18:00,True
14,Sat,09:00,13:00,True
15,Fri,09:00,18:00,True
15,Sat,09:00,18:00,True
15,Tue,09:00,13:00,True
16,Thu,13:00,18:00,True
16,Sat,08:00,21:00,True
16,Fri,13:00,18:00,True
17,Fri,13:00,18:00,True
17,Tue,14:00,21:00,True
17,Wed,09:00,13:00,True
17,Sun,13:00,18:00,True
17,Thu,09:00,18:00,True
18,Sun,09:00,13:00,True
18,Tue,09:00,13:00,True
18,Wed,14:00,21:00,True
18,Fri,09:00,18:00,True
19,Wed,13:00,18:00,True
19,Fri,08:00,21:00,True
19,Mon,13:00,18:00,True
19,Sat,14:00,21:00,True
19,Tue,13:00,18:00,True
19,Thu,08:00,12:00,True
20,Tue,13:00,18:00,True
20,Mon,13:00,18:00,True
20,Thu,09:00,18:00,True
21,Fri,08:00,21:00,True
21,Wed,13:00,18:00,True
21,Tue,09:00,18:00,True
21,Thu,13:00,18:00,True
21,Sat,09:00,18:00,True
22,Wed,09:00,18:00,True
22,Sat,14:00,21:00,True
22,Fri,09:00,13:00,True
22,Tue,09:00,18:00,True
22,Sun,08:00,21:00,True
22,Mon,08:00,21:00,True
23,Fri,09:00,18:00,True
23,Sun,09:00,13:00,True
23,Thu,09:00,18:00,True
23,Mon,13:00,18:00,True
23,Wed,08:00,21:00,True
